18	A46V	57.5	1	57.5
18	DB1R	42	1	42
18	VB15	56.5	1	56.5
23	A46V	57.5	1	57.5
26	A46V	57.5	1	57.5
27	A46V	57.5	1	57.5
28	A46V	57.5	1	57.5
29	A46V	57.5	1	57.5
30	A46V	57.5	1	57.5
31	A46V	57.5	1	57.5
32	A46V	57.5	1	57.5
32	VB15	56.5	1	56.5
33	A46V	57.5	1	57.5
33	CRFC	50	1	50
33	VB15	56.5	1	56.5
41	A46V	57.5	1	57.5
42	A46V	57.5	1	57.5
43	JAVP	56.5	1	56.5
44	A46V	57.5	1	57.5
45	A46V	57.5	1	57.5
46	A46V	57.5	1	57.5
46	DB2R	45	1	45
46	SQ12	57.5	1	57.5
46	VB15	56.5	1	56.5
47	A46V	57.5	1	57.5
47	DB2R	45	4	180
48	A46V	57.5	1	57.5
49	A46V	57.5	1	57.5
49	DB1R	42	1	42
50	A46V	57.5	1	57.5
57	A46V	57.5	1	57.5
58	A46V	57.5	1	57.5
59	A46V	57.5	10	575
60	A46V	57.5	1	57.5
62	A46V	57.5	1	57.5
66	A46V	57.5	1	57.5
68	A46V	57.5	1	57.5
69	DB1R	42	1	42
101	CS15	56.5	1	56.5
102	A46V	57.5	1	57.5
102	ADV4	56.5	1	56.5
102	VB15	56.5	1	56.5
104	A46C	57.5	1	57.5
105	A46C	57.5	1	57.5
105	CS15	56.5	1	56.5
106	A46V	57.5	1	57.5
106	ADV4	56.5	1	56.5
106	VB15	56.5	1	56.5
108	CS15	56.5	1	56.5
110	ADV4	56.5	1	56.5
110	VB15	56.5	1	56.5
111	A46C	57.5	1	57.5
111	CS15	56.5	1	56.5
114	A46V	57.5	1	57.5
114	VB15	56.5	1	56.5
115	A46C	57.5	1	57.5
116	VB15	56.5	1	56.5
117	JAVP	56.5	1	56.5
117	JSP2	57.5	1	57.5
118	VB15	56.5	1	56.5
124	A46C	57.5	5	287.5
124	CS15	56.5	5	282.5
157	A46C	57.5	5	287.5
